Date,City,Country,% Change In Waze Driven Miles/KMs
"Nov 16, 2021",Paris,France,-0.98
"Nov 16, 2021",San Francisco,United States,-0.9
"Nov 15, 2021",San Francisco,United States,-0.29
"Nov 15, 2021",Paris,France,0.01
"Nov 15, 2021",London,United Kingdom,0.01
"Nov 15, 2021",Sao Paulo,Brazil,0.04
"Nov 15, 2021",New York,United States,0.08
"Nov 15, 2021",Prague,Czechia,0.29
"Nov 14, 2021",San Francisco,United States,-0.25
"Nov 14, 2021",Sao Paulo,Brazil,0.01
"Nov 14, 2021",London,United Kingdom,0.02
"Nov 14, 2021",Paris,France,0.06
"Nov 14, 2021",New York,United States,0.07
"Nov 14, 2021",Prague,Czechia,0.18
"Nov 13, 2021",San Francisco,United States,-0.27
"Nov 13, 2021",Paris,France,-0.11
"Nov 13, 2021",New York,United States,0.02
"Nov 13, 2021",Sao Paulo,Brazil,0.02
"Nov 13, 2021",London,United Kingdom,0.05
"Nov 13, 2021",Prague,Czechia,0.12
"Nov 12, 2021",San Francisco,United States,-0.37
"Nov 12, 2021",Paris,France,-0.12
"Nov 12, 2021",Sao Paulo,Brazil,-0.05
"Nov 12, 2021",London,United Kingdom,0.04
"Nov 12, 2021",New York,United States,0.05
"Nov 12, 2021",Prague,Czechia,0.23
"Nov 11, 2021",San Francisco,United States,-0.28
"Nov 11, 2021",Paris,France,-0.08
"Nov 11, 2021",Sao Paulo,Brazil,-0.06
"Nov 11, 2021",New York,United States,0.05
"Nov 11, 2021",London,United Kingdom,0.05
"Nov 11, 2021",Prague,Czechia,0.27
"Nov 10, 2021",San Francisco,United States,-0.33
"Nov 10, 2021",Sao Paulo,Brazil,-0.12
"Nov 10, 2021",London,United Kingdom,0
"Nov 10, 2021",New York,United States,0.07
"Nov 10, 2021",Paris,France,0.08
"Nov 10, 2021",Prague,Czechia,0.2
"Nov 9, 2021",San Francisco,United States,-0.38
"Nov 9, 2021",Sao Paulo,Brazil,-0.01
"Nov 9, 2021",Paris,France,0
"Nov 9, 2021",London,United Kingdom,0.03
"Nov 9, 2021",New York,United States,0.05
"Nov 9, 2021",Prague,Czechia,0.25
"Nov 8, 2021",San Francisco,United States,-0.3
"Nov 8, 2021",Paris,France,-0.06
"Nov 8, 2021",London,United Kingdom,0
"Nov 8, 2021",New York,United States,0.07
"Nov 8, 2021",Sao Paulo,Brazil,0.11
"Nov 8, 2021",Prague,Czechia,0.2
"Nov 7, 2021",San Francisco,United States,-0.37
"Nov 7, 2021",Paris,France,-0.1
"Nov 7, 2021",New York,United States,-0.05
"Nov 7, 2021",London,United Kingdom,-0.01
"Nov 7, 2021",Sao Paulo,Brazil,0.09
"Nov 7, 2021",Prague,Czechia,0.1
"Nov 6, 2021",San Francisco,United States,-0.3
"Nov 6, 2021",Paris,France,0
"Nov 6, 2021",Sao Paulo,Brazil,0.01
"Nov 6, 2021",New York,United States,0.02
"Nov 6, 2021",London,United Kingdom,0.02
"Nov 6, 2021",Prague,Czechia,0.13
"Nov 5, 2021",San Francisco,United States,-0.39
"Nov 5, 2021",Sao Paulo,Brazil,-0.16
"Nov 5, 2021",Paris,France,-0.04
"Nov 5, 2021",London,United Kingdom,-0.01
"Nov 5, 2021",New York,United States,0.02
"Nov 5, 2021",Prague,Czechia,0.14
"Nov 4, 2021",San Francisco,United States,-0.35
"Nov 4, 2021",Sao Paulo,Brazil,-0.13
"Nov 4, 2021",Paris,France,0.04
"Nov 4, 2021",London,United Kingdom,0.05
"Nov 4, 2021",New York,United States,0.05
"Nov 4, 2021",Prague,Czechia,0.25
"Nov 3, 2021",San Francisco,United States,-0.37
